taskset -c 1  dd if=/dev/zero of=/dev/null &
taskset -c 2  dd if=/dev/zero of=/dev/null &
taskset -c 3  dd if=/dev/zero of=/dev/null &
taskset -c 4  dd if=/dev/zero of=/dev/null &
taskset -c 5  dd if=/dev/zero of=/dev/null &
taskset -c 6  dd if=/dev/zero of=/dev/null &
taskset -c 7  dd if=/dev/zero of=/dev/null &
taskset -c 9  dd if=/dev/zero of=/dev/null &
taskset -c 10  dd if=/dev/zero of=/dev/null &
taskset -c 11 dd if=/dev/zero of=/dev/null &
taskset -c 12  dd if=/dev/zero of=/dev/null &
taskset -c 13  dd if=/dev/zero of=/dev/null &
taskset -c 14  dd if=/dev/zero of=/dev/null &
taskset -c 15  dd if=/dev/zero of=/dev/null &
sar -P ALL 10 &

Linux 4.18.0-305.25.1.el8_4.x86_64 (nyl96i-9911) 	08/22/2022 	_x86_64_	(16 CPU)

04:33:47 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
04:33:57 PM     all     11.90      0.00     79.28      0.00      0.00      8.82
04:33:57 PM       0     13.18      0.00     21.13      0.00      0.00     65.69
04:33:57 PM       1     14.80      0.00     85.20      0.00      0.00      0.00
04:33:57 PM       2     14.50      0.00     85.50      0.00      0.00      0.00
04:33:57 PM       3     14.40      0.00     85.60      0.00      0.00      0.00
04:33:57 PM       4     15.00      0.00     85.00      0.00      0.00      0.00
04:33:57 PM       5     14.30      0.00     85.70      0.00      0.00      0.00
04:33:57 PM       6     14.40      0.00     85.60      0.00      0.00      0.00
04:33:57 PM       7     14.51      0.00     85.49      0.00      0.00      0.00
04:33:57 PM       8      6.05      0.00     17.56      0.00      0.00     76.39
04:33:57 PM       9      9.90      0.00     90.10      0.00      0.00      0.00
04:33:57 PM      10      9.89      0.00     90.11      0.00      0.00      0.00
04:33:57 PM      11      9.91      0.00     90.09      0.00      0.00      0.00
04:33:57 PM      12     10.09      0.00     89.91      0.00      0.00      0.00
04:33:57 PM      13      9.80      0.00     90.20      0.00      0.00      0.00
04:33:57 PM      14      9.69      0.00     90.31      0.00      0.00      0.00
04:33:57 PM      15     10.00      0.00     90.00      0.00      0.00      0.00

04:33:57 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
04:34:07 PM     all     32.40      0.00     57.69      0.00      0.00      9.90
04:34:07 PM       0     12.85      0.00     14.66      0.00      0.00     72.49
04:34:07 PM       1     37.10      0.00     62.90      0.00      0.00      0.00
04:34:07 PM       2     37.00      0.00     63.00      0.00      0.00      0.00
04:34:07 PM       3     37.00      0.00     63.00      0.00      0.00      0.00
04:34:07 PM       4     37.34      0.00     62.66      0.00      0.00      0.00
04:34:07 PM       5     36.80      0.00     63.20      0.00      0.00      0.00
04:34:07 PM       6     36.86      0.00     63.14      0.00      0.00      0.00
04:34:07 PM       7     37.20      0.00     62.80      0.00      0.00      0.00
04:34:07 PM       8      5.71      0.00      8.01      0.00      0.00     86.29
04:34:07 PM       9     34.40      0.00     65.60      0.00      0.00      0.00
04:34:07 PM      10     34.33      0.00     65.67      0.00      0.00      0.00
04:34:07 PM      11     34.33      0.00     65.67      0.00      0.00      0.00
04:34:07 PM      12     34.60      0.00     65.40      0.00      0.00      0.00
04:34:07 PM      13     34.30      0.00     65.70      0.00      0.00      0.00
04:34:07 PM      14     34.13      0.00     65.87      0.00      0.00      0.00
04:34:07 PM      15     34.40      0.00     65.60      0.00      0.00      0.00

04:34:07 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
04:34:17 PM     all     58.33      0.00     29.22      0.00      0.00     12.46
04:34:17 PM       0      0.00      0.00      0.20      0.00      0.00     99.80
04:34:17 PM       1     66.70      0.00     33.30      0.00      0.00      0.00
04:34:17 PM       2     66.70      0.00     33.30      0.00      0.00      0.00
04:34:17 PM       3     66.70      0.00     33.30      0.00      0.00      0.00
04:34:17 PM       4     66.80      0.00     33.20      0.00      0.00      0.00
04:34:17 PM       5     66.37      0.00     33.63      0.00      0.00      0.00
04:34:17 PM       6     66.27      0.00     33.73      0.00      0.00      0.00
04:34:17 PM       7     66.80      0.00     33.20      0.00      0.00      0.00
04:34:17 PM       8      0.20      0.00      0.20      0.00      0.00     99.60
04:34:17 PM       9     66.60      0.00     33.40      0.00      0.00      0.00
04:34:17 PM      10     66.60      0.00     33.40      0.00      0.00      0.00
04:34:17 PM      11     66.53      0.00     33.47      0.00      0.00      0.00
04:34:17 PM      12     67.00      0.00     33.00      0.00      0.00      0.00
04:34:17 PM      13     66.50      0.00     33.50      0.00      0.00      0.00
04:34:17 PM      14     66.50      0.00     33.50      0.00      0.00      0.00
04:34:17 PM      15     66.90      0.00     33.10      0.00      0.00      0.00

04:34:17 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
04:34:27 PM     all     58.44      0.00     29.26      0.00      0.00     12.30
04:34:27 PM       0      1.10      0.00      0.50      0.00      0.00     98.40
04:34:27 PM       1     66.73      0.00     33.27      0.00      0.00      0.00
04:34:27 PM       2     66.60      0.00     33.40      0.00      0.00      0.00
04:34:27 PM       3     66.60      0.00     33.40      0.00      0.00      0.00
04:34:27 PM       4     66.80      0.00     33.20      0.00      0.00      0.00
04:34:27 PM       5     66.33      0.00     33.67      0.00      0.00      0.00
04:34:27 PM       6     66.30      0.00     33.70      0.00      0.00      0.00
04:34:27 PM       7     66.80      0.00     33.20      0.00      0.00      0.00
04:34:27 PM       8      1.20      0.00      0.50      0.00      0.00     98.30
04:34:27 PM       9     66.60      0.00     33.40      0.00      0.00      0.00
04:34:27 PM      10     66.53      0.00     33.47      0.00      0.00      0.00
04:34:27 PM      11     66.60      0.00     33.40      0.00      0.00      0.00
04:34:27 PM      12     66.97      0.00     33.03      0.00      0.00      0.00
04:34:27 PM      13     66.50      0.00     33.50      0.00      0.00      0.00
04:34:27 PM      14     66.50      0.00     33.50      0.00      0.00      0.00
04:34:27 PM      15     66.90      0.00     33.10      0.00      0.00      0.00

04:34:27 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
04:34:37 PM     all     58.32      0.00     29.23      0.00      0.00     12.45
04:34:37 PM       0      0.00      0.00      0.20      0.00      0.00     99.80
04:34:37 PM       1     66.70      0.00     33.30      0.00      0.00      0.00
04:34:37 PM       2     66.60      0.00     33.40      0.00      0.00      0.00
04:34:37 PM       3     66.70      0.00     33.30      0.00      0.00      0.00
04:34:37 PM       4     66.80      0.00     33.20      0.00      0.00      0.00
04:34:37 PM       5     66.37      0.00     33.63      0.00      0.00      0.00
04:34:37 PM       6     66.30      0.00     33.70      0.00      0.00      0.00
04:34:37 PM       7     66.80      0.00     33.20      0.00      0.00      0.00
04:34:37 PM       8      0.10      0.00      0.10      0.00      0.00     99.80
04:34:37 PM       9     66.60      0.00     33.40      0.00      0.00      0.00
04:34:37 PM      10     66.60      0.00     33.40      0.00      0.00      0.00
04:34:37 PM      11     66.50      0.00     33.50      0.00      0.00      0.00
04:34:37 PM      12     66.93      0.00     33.07      0.00      0.00      0.00
04:34:37 PM      13     66.50      0.00     33.50      0.00      0.00      0.00
04:34:37 PM      14     66.53      0.00     33.47      0.00      0.00      0.00
04:34:37 PM      15     66.80      0.00     33.20      0.00      0.00      0.00

04:34:37 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
04:34:47 PM     all     58.77      0.00     29.33      0.00      0.00     11.89
04:34:47 PM       0      5.60      0.00      1.70      0.00      0.00     92.70
04:34:47 PM       1     66.77      0.00     33.23      0.00      0.00      0.00
04:34:47 PM       2     66.63      0.00     33.37      0.00      0.00      0.00
04:34:47 PM       3     66.60      0.00     33.40      0.00      0.00      0.00
04:34:47 PM       4     66.80      0.00     33.20      0.00      0.00      0.00
04:34:47 PM       5     66.33      0.00     33.67      0.00      0.00      0.00
04:34:47 PM       6     66.23      0.00     33.77      0.00      0.00      0.00
04:34:47 PM       7     66.80      0.00     33.20      0.00      0.00      0.00
04:34:47 PM       8      1.90      0.00      0.50      0.00      0.00     97.60
04:34:47 PM       9     66.60      0.00     33.40      0.00      0.00      0.00
04:34:47 PM      10     66.60      0.00     33.40      0.00      0.00      0.00
04:34:47 PM      11     66.50      0.00     33.50      0.00      0.00      0.00
04:34:47 PM      12     66.97      0.00     33.03      0.00      0.00      0.00
04:34:47 PM      13     66.60      0.00     33.40      0.00      0.00      0.00
04:34:47 PM      14     66.57      0.00     33.43      0.00      0.00      0.00
04:34:47 PM      15     66.90      0.00     33.10      0.00      0.00      0.00
