taskset -c 1  dd if=/dev/zero of=/dev/null &
taskset -c 2  dd if=/dev/zero of=/dev/null &
taskset -c 3  dd if=/dev/zero of=/dev/null &
taskset -c 4  dd if=/dev/zero of=/dev/null &
taskset -c 5  dd if=/dev/zero of=/dev/null &
taskset -c 6  dd if=/dev/zero of=/dev/null &
taskset -c 7  dd if=/dev/zero of=/dev/null &
taskset -c 9  dd if=/dev/zero of=/dev/null &
taskset -c 10  dd if=/dev/zero of=/dev/null &
taskset -c 11 dd if=/dev/zero of=/dev/null &
taskset -c 12  dd if=/dev/zero of=/dev/null &
taskset -c 13  dd if=/dev/zero of=/dev/null &
taskset -c 14  dd if=/dev/zero of=/dev/null &
taskset -c 15  dd if=/dev/zero of=/dev/null &
sar -P ALL 10 &

Linux 4.18.0-305.25.1.el8_4.x86_64 (nyl96i-9922) 	08/23/2022 	_x86_64_	(16 CPU)

09:48:34 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
09:48:44 AM     all      5.40      0.00     85.09      0.00      0.00      9.52
09:48:44 AM       0      8.43      0.00     19.36      0.00      0.00     72.22
09:48:44 AM       1      4.00      0.00     96.00      0.00      0.00      0.00
09:48:44 AM       2      4.00      0.00     96.00      0.00      0.00      0.00
09:48:44 AM       3      4.00      0.00     96.00      0.00      0.00      0.00
09:48:44 AM       4      4.00      0.00     96.00      0.00      0.00      0.00
09:48:44 AM       5      4.10      0.00     95.90      0.00      0.00      0.00
09:48:44 AM       6      4.00      0.00     96.00      0.00      0.00      0.00
09:48:44 AM       7      4.10      0.00     95.90      0.00      0.00      0.00
09:48:44 AM       8      5.67      0.00     13.26      0.00      0.00     81.07
09:48:44 AM       9      6.40      0.00     93.60      0.00      0.00      0.00
09:48:44 AM      10      6.20      0.00     93.80      0.00      0.00      0.00
09:48:44 AM      11      6.31      0.00     93.69      0.00      0.00      0.00
09:48:44 AM      12      6.30      0.00     93.70      0.00      0.00      0.00
09:48:44 AM      13      6.39      0.00     93.61      0.00      0.00      0.00
09:48:44 AM      14      6.20      0.00     93.80      0.00      0.00      0.00
09:48:44 AM      15      6.30      0.00     93.70      0.00      0.00      0.00

09:48:44 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
09:48:54 AM     all     14.66      0.00     76.03      0.00      0.00      9.31
09:48:54 AM       0     12.22      0.00     17.03      0.00      0.00     70.74
09:48:54 AM       1     14.37      0.00     85.63      0.00      0.00      0.00
09:48:54 AM       2     14.30      0.00     85.70      0.00      0.00      0.00
09:48:54 AM       3     14.29      0.00     85.71      0.00      0.00      0.00
09:48:54 AM       4     14.39      0.00     85.61      0.00      0.00      0.00
09:48:54 AM       5     14.30      0.00     85.70      0.00      0.00      0.00
09:48:54 AM       6     14.30      0.00     85.70      0.00      0.00      0.00
09:48:54 AM       7     14.30      0.00     85.70      0.00      0.00      0.00
09:48:54 AM       8      9.78      0.00     11.98      0.00      0.00     78.24
09:48:54 AM       9     16.18      0.00     83.82      0.00      0.00      0.00
09:48:54 AM      10     15.98      0.00     84.02      0.00      0.00      0.00
09:48:54 AM      11     16.10      0.00     83.90      0.00      0.00      0.00
09:48:54 AM      12     15.90      0.00     84.10      0.00      0.00      0.00
09:48:54 AM      13     16.10      0.00     83.90      0.00      0.00      0.00
09:48:54 AM      14     16.00      0.00     84.00      0.00      0.00      0.00
09:48:54 AM      15     16.00      0.00     84.00      0.00      0.00      0.00

09:48:54 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
09:49:04 AM     all     36.24      0.00     51.29      0.01      0.00     12.46
09:49:04 AM       0      0.10      0.00      0.20      0.00      0.00     99.70
09:49:04 AM       1     41.30      0.00     58.70      0.00      0.00      0.00
09:49:04 AM       2     41.30      0.00     58.70      0.00      0.00      0.00
09:49:04 AM       3     41.34      0.00     58.66      0.00      0.00      0.00
09:49:04 AM       4     41.34      0.00     58.66      0.00      0.00      0.00
09:49:04 AM       5     41.34      0.00     58.66      0.00      0.00      0.00
09:49:04 AM       6     41.40      0.00     58.60      0.00      0.00      0.00
09:49:04 AM       7     41.34      0.00     58.66      0.00      0.00      0.00
09:49:04 AM       8      0.10      0.00      0.10      0.10      0.00     99.70
09:49:04 AM       9     41.54      0.00     58.46      0.00      0.00      0.00
09:49:04 AM      10     41.60      0.00     58.40      0.00      0.00      0.00
09:49:04 AM      11     41.40      0.00     58.60      0.00      0.00      0.00
09:49:04 AM      12     41.40      0.00     58.60      0.00      0.00      0.00
09:49:04 AM      13     41.64      0.00     58.36      0.00      0.00      0.00
09:49:04 AM      14     41.30      0.00     58.70      0.00      0.00      0.00
09:49:04 AM      15     41.40      0.00     58.60      0.00      0.00      0.00

09:49:04 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
09:49:14 AM     all     36.26      0.00     51.27      0.00      0.00     12.47
09:49:14 AM       0      0.00      0.00      0.30      0.00      0.00     99.70
09:49:14 AM       1     41.30      0.00     58.70      0.00      0.00      0.00
09:49:14 AM       2     41.40      0.00     58.60      0.00      0.00      0.00
09:49:14 AM       3     41.36      0.00     58.64      0.00      0.00      0.00
09:49:14 AM       4     41.36      0.00     58.64      0.00      0.00      0.00
09:49:14 AM       5     41.36      0.00     58.64      0.00      0.00      0.00
09:49:14 AM       6     41.40      0.00     58.60      0.00      0.00      0.00
09:49:14 AM       7     41.30      0.00     58.70      0.00      0.00      0.00
09:49:14 AM       8      0.10      0.00      0.10      0.00      0.00     99.80
09:49:14 AM       9     41.56      0.00     58.44      0.00      0.00      0.00
09:49:14 AM      10     41.54      0.00     58.46      0.00      0.00      0.00
09:49:14 AM      11     41.50      0.00     58.50      0.00      0.00      0.00
09:49:14 AM      12     41.44      0.00     58.56      0.00      0.00      0.00
09:49:14 AM      13     41.70      0.00     58.30      0.00      0.00      0.00
09:49:14 AM      14     41.40      0.00     58.60      0.00      0.00      0.00
09:49:14 AM      15     41.40      0.00     58.60      0.00      0.00      0.00

09:49:14 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
09:49:24 AM     all     36.25      0.00     51.27      0.00      0.00     12.48
09:49:24 AM       0      0.10      0.00      0.10      0.00      0.00     99.80
09:49:24 AM       1     41.24      0.00     58.76      0.00      0.00      0.00
09:49:24 AM       2     41.36      0.00     58.64      0.00      0.00      0.00
09:49:24 AM       3     41.34      0.00     58.66      0.00      0.00      0.00
09:49:24 AM       4     41.30      0.00     58.70      0.00      0.00      0.00
09:49:24 AM       5     41.34      0.00     58.66      0.00      0.00      0.00
09:49:24 AM       6     41.40      0.00     58.60      0.00      0.00      0.00
09:49:24 AM       7     41.30      0.00     58.70      0.00      0.00      0.00
09:49:24 AM       8      0.10      0.00      0.00      0.00      0.00     99.90
09:49:24 AM       9     41.54      0.00     58.46      0.00      0.00      0.00
09:49:24 AM      10     41.60      0.00     58.40      0.00      0.00      0.00
09:49:24 AM      11     41.46      0.00     58.54      0.00      0.00      0.00
09:49:24 AM      12     41.46      0.00     58.54      0.00      0.00      0.00
09:49:24 AM      13     41.66      0.00     58.34      0.00      0.00      0.00
09:49:24 AM      14     41.40      0.00     58.60      0.00      0.00      0.00
09:49:24 AM      15     41.40      0.00     58.60      0.00      0.00      0.00

09:49:24 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
09:49:34 AM     all     36.36      0.00     51.34      0.00      0.00     12.30
09:49:34 AM       0      0.90      0.00      0.70      0.00      0.00     98.40
09:49:34 AM       1     41.30      0.00     58.70      0.00      0.00      0.00
09:49:34 AM       2     41.34      0.00     58.66      0.00      0.00      0.00
09:49:34 AM       3     41.40      0.00     58.60      0.00      0.00      0.00
09:49:34 AM       4     41.34      0.00     58.66      0.00      0.00      0.00
09:49:34 AM       5     41.36      0.00     58.64      0.00      0.00      0.00
09:49:34 AM       6     41.40      0.00     58.60      0.00      0.00      0.00
09:49:34 AM       7     41.30      0.00     58.70      0.00      0.00      0.00
09:49:34 AM       8      1.00      0.00      0.60      0.00      0.00     98.40
09:49:34 AM       9     41.56      0.00     58.44      0.00      0.00      0.00
09:49:34 AM      10     41.56      0.00     58.44      0.00      0.00      0.00
09:49:34 AM      11     41.44      0.00     58.56      0.00      0.00      0.00
09:49:34 AM      12     41.40      0.00     58.60      0.00      0.00      0.00
09:49:34 AM      13     41.64      0.00     58.36      0.00      0.00      0.00
09:49:34 AM      14     41.36      0.00     58.64      0.00      0.00      0.00
09:49:34 AM      15     41.50      0.00     58.50      0.00      0.00      0.00
